ParamNum,State,Frequency,MultiStableState,Stability Type,RepNum,Motif
9019.0,'01',0.848,'01 10',2,1,TS
9019.0,'10',0.152,'01 10',2,1,TS
9020.0,'01',1.0,'01',1,1,TS
9021.0,'01',1.0,'01',1,1,TS
9022.0,'10',1.0,'10',1,1,TS
9023.0,'01',1.0,'01',1,1,TS
9024.0,'01',0.823,'01 10',2,1,TS
9024.0,'10',0.177,'01 10',2,1,TS
9025.0,'01',1.0,'01',1,1,TS
9026.0,'01',1.0,'01',1,1,TS
9027.0,'01',0.302,'01 10',2,1,TS
9027.0,'10',0.698,'01 10',2,1,TS
9028.0,'01',1.0,'01',1,1,TS
9029.0,'01',1.0,'01',1,1,TS
9030.0,'01',0.932,'01 10',2,1,TS
9030.0,'10',0.068,'01 10',2,1,TS
9031.0,'01',0.7632898696088265,'01 10',2,1,TS
9031.0,'10',0.23671013039117353,'01 10',2,1,TS
9032.0,'10',1.0,'10',1,1,TS
9033.0,'01',0.157,'01 10',2,1,TS
9033.0,'10',0.843,'01 10',2,1,TS
9034.0,'01',0.982,'01 10',2,1,TS
9034.0,'10',0.018,'01 10',2,1,TS
9035.0,'01',1.0,'01',1,1,TS
9036.0,'10',1.0,'10',1,1,TS
9037.0,'01',1.0,'01',1,1,TS
9038.0,'10',1.0,'10',1,1,TS
9039.0,'01',1.0,'01',1,1,TS
9040.0,'01',0.475,'01 10',2,1,TS
9040.0,'10',0.525,'01 10',2,1,TS
9041.0,'01',1.0,'01',1,1,TS
9042.0,'01',0.116,'01 10',2,1,TS
9042.0,'10',0.884,'01 10',2,1,TS
9043.0,'10',1.0,'10',1,1,TS
9044.0,'01',0.107,'01 10',2,1,TS
9044.0,'10',0.893,'01 10',2,1,TS
9045.0,'10',1.0,'10',1,1,TS
9046.0,'10',1.0,'10',1,1,TS
9047.0,'01',1.0,'01',1,1,TS
9048.0,'01',1.0,'01',1,1,TS
9049.0,'01',1.0,'01',1,1,TS
9050.0,'01',1.0,'01',1,1,TS
9051.0,'10',1.0,'10',1,1,TS
9052.0,'11',1.0,'11',1,1,TS
9053.0,'01',0.899,'01 10',2,1,TS
9053.0,'10',0.101,'01 10',2,1,TS
9054.0,'10',1.0,'10',1,1,TS
9055.0,'01',0.717,'01 10',2,1,TS
9055.0,'10',0.283,'01 10',2,1,TS
9056.0,'10',1.0,'10',1,1,TS
9057.0,'01',1.0,'01',1,1,TS
9058.0,'01',1.0,'01',1,1,TS
9059.0,'01',0.387,'01 10',2,1,TS
9059.0,'10',0.613,'01 10',2,1,TS
9060.0,'10',1.0,'10',1,1,TS
9061.0,'01',1.0,'01',1,1,TS
9062.0,'01',1.0,'01',1,1,TS
9063.0,'01',0.228,'01 10',2,1,TS
9063.0,'10',0.772,'01 10',2,1,TS
9064.0,'01',1.0,'01',1,1,TS
9065.0,'01',1.0,'01',1,1,TS
9066.0,'01',0.273,'01 10',2,1,TS
9066.0,'10',0.727,'01 10',2,1,TS
9067.0,'10',1.0,'10',1,1,TS
9068.0,'10',1.0,'10',1,1,TS
9069.0,'01',1.0,'01',1,1,TS
9070.0,'10',1.0,'10',1,1,TS
9071.0,'10',1.0,'10',1,1,TS
9072.0,'01',0.132,'01 10',2,1,TS
9072.0,'10',0.868,'01 10',2,1,TS
