ParamNum,State,Frequency,MultiStableState,Stability Type,RepNum,Motif
3765.0,'01',0.657,'00 01 10',3,1,TSSA
3765.0,'10',0.34,'00 01 10',3,1,TSSA
3766.0,'01',0.72,'01 10',2,1,TSSA
3766.0,'10',0.28,'01 10',2,1,TSSA
3767.0,'01',0.993,'01 10',2,1,TSSA
3767.0,'10',0.007,'01 10',2,1,TSSA
3768.0,'01',0.921,'01 10',2,1,TSSA
3768.0,'10',0.079,'01 10',2,1,TSSA
3769.0,'01',0.384,'01 10',2,1,TSSA
3769.0,'10',0.616,'01 10',2,1,TSSA
3770.0,'10',1.0,'10',1,1,TSSA
3771.0,'01',0.807,'01 10',2,1,TSSA
3771.0,'10',0.193,'01 10',2,1,TSSA
3772.0,'01',0.746,'01 10',2,1,TSSA
3772.0,'10',0.254,'01 10',2,1,TSSA
3773.0,'01',0.027,'01 10',2,1,TSSA
3773.0,'10',0.973,'01 10',2,1,TSSA
3774.0,'01',0.24,'01 10',2,1,TSSA
3774.0,'10',0.76,'01 10',2,1,TSSA
3775.0,'00',0.002,'00 01 10',3,1,TSSA
3775.0,'01',0.931,'00 01 10',3,1,TSSA
3775.0,'10',0.067,'00 01 10',3,1,TSSA
3776.0,'00',0.935,'00 10',2,1,TSSA
3776.0,'10',0.065,'00 10',2,1,TSSA
3777.0,'01',0.909,'01 10',2,1,TSSA
3777.0,'10',0.091,'01 10',2,1,TSSA
3778.0,'00',0.717,'00 01',2,1,TSSA
3778.0,'01',0.283,'00 01',2,1,TSSA
3779.0,'01',0.947,'01 10',2,1,TSSA
3779.0,'10',0.053,'01 10',2,1,TSSA
3780.0,'10',1.0,'10',1,1,TSSA
3781.0,'01',0.402,'01 10',2,1,TSSA
3781.0,'10',0.598,'01 10',2,1,TSSA
3782.0,'10',1.0,'10',1,1,TSSA
3783.0,'00',0.004,'00 01 10',3,1,TSSA
3783.0,'01',0.069,'00 01 10',3,1,TSSA
3783.0,'10',0.927,'00 01 10',3,1,TSSA
3784.0,'01',0.303,'01 10',2,1,TSSA
3784.0,'10',0.697,'01 10',2,1,TSSA
3785.0,'01',0.199,'01 10',2,1,TSSA
3785.0,'10',0.801,'01 10',2,1,TSSA
3786.0,'01',1.0,'01',1,1,TSSA
3787.0,'00',0.05,'00 01 10',3,1,TSSA
3787.0,'01',0.153,'00 01 10',3,1,TSSA
3787.0,'10',0.797,'00 01 10',3,1,TSSA
3788.0,'01',0.022,'01 10',2,1,TSSA
3788.0,'10',0.978,'01 10',2,1,TSSA
3789.0,'01',0.877,'01 10',2,1,TSSA
3789.0,'10',0.123,'01 10',2,1,TSSA
3790.0,'00',0.082,'00 01',2,1,TSSA
3790.0,'01',0.918,'00 01',2,1,TSSA
3791.0,'10',1.0,'10',1,1,TSSA
3792.0,'01',1.0,'01',1,1,TSSA
3793.0,'01',0.979,'01 10',2,1,TSSA
3793.0,'10',0.021,'01 10',2,1,TSSA
3794.0,'01',0.108,'01 10',2,1,TSSA
3794.0,'10',0.892,'01 10',2,1,TSSA
3795.0,'01',0.016,'01 10',2,1,TSSA
3795.0,'10',0.984,'01 10',2,1,TSSA
3796.0,'01',0.709,'01 10',2,1,TSSA
3796.0,'10',0.291,'01 10',2,1,TSSA
3797.0,'01',0.167,'01 10',2,1,TSSA
3797.0,'10',0.833,'01 10',2,1,TSSA
