State,Fraction,RepNum,Motif
000100111100000,2.0462849185732074e-06,1,EMT22N
100000011000100,2.0462849185732074e-06,1,EMT22N
100110001000100,2.0462849185732074e-06,1,EMT22N
100000000000100,2.0462849185732074e-06,1,EMT22N
100110010000100,2.0462849185732074e-06,1,EMT22N
100111100000000,1.0231424592866037e-06,1,EMT22N
100000000100000,1.0231424592866037e-06,1,EMT22N
000000110010010,1.0231424592866037e-06,1,EMT22N
000001100100000,1.0231424592866037e-06,1,EMT22N
000000000000000,1.0231424592866037e-06,1,EMT22N
000010100000000,1.0231424592866037e-06,1,EMT22N
100110011100100,1.0231424592866037e-06,1,EMT22N
100000100010100,1.0231424592866037e-06,1,EMT22N
111111000000000,0.25433021514289095,2,EMT22N
000000111110000,0.15742608418705875,2,EMT22N
000000111110100,0.12569669303041564,2,EMT22N
000000111110010,0.08847440048671537,2,EMT22N
000000111110110,0.06720306075367384,2,EMT22N
000000101010000,0.04657175989253064,2,EMT22N
000000111100000,0.023378261952496253,2,EMT22N
000000111010000,0.02191954497013152,2,EMT22N
000000101110000,0.02152449705398376,2,EMT22N
000000111100100,0.02097428819919398,2,EMT22N
000000101010100,0.01998105403275529,2,EMT22N
000000111010100,0.015092463669882853,2,EMT22N
000000101110100,0.012286296430890093,2,EMT22N
000000111110111,0.011804480884580677,2,EMT22N
000000111100010,0.006978159056294839,2,EMT22N
000000111110101,0.006904661769569673,2,EMT22N
000000101000000,0.006571882388008509,2,EMT22N
000000101110010,0.005518421278281144,2,EMT22N
000000111100110,0.005176454735879334,2,EMT22N
000000111010010,0.004768136476295083,2,EMT22N
000000100010000,0.004690556006974076,2,EMT22N
000000111110011,0.004416982773052628,2,EMT22N
100110001000000,0.0034860171412005375,2,EMT22N
000000101100000,0.0033767920067617504,2,EMT22N
000000101110110,0.003361480072027341,2,EMT22N
111111100000000,0.0032052983377363654,2,EMT22N
000000111110001,0.0028224999693761306,2,EMT22N
000000100110000,0.0026979629002029343,2,EMT22N
000000110110000,0.002594862539657911,2,EMT22N
000000111000000,0.00256117628324221,2,EMT22N
